threshold0; threshold1; threshold2; cost
0;   	0;   	100;   	3
1;   	0;   	98;   	2.975
2;   	1;   	97;   	2.95
3;   	1;   	95;   	2.925
4;   	2;   	94;   	2.9
5;   	2;   	92;   	2.875
6;   	3;   	91;   	2.85
7;   	3;   	89;   	2.825
8;   	4;   	88;   	2.8
9;   	4;   	86;   	2.775
10;   	5;   	85;   	2.75
11;   	5;   	83;   	2.725
12;   	5;   	82;   	2.7
13;   	6;   	80;   	2.675
14;   	6;   	79;   	2.65
15;   	7;   	77;   	2.625
16;   	7;   	76;   	2.6
17;   	8;   	74;   	2.575
18;   	8;   	73;   	2.55
19;   	9;   	71;   	2.525
20;   	9;   	70;   	2.5
21;   	10;   	68;   	2.475
22;   	10;   	67;   	2.45
23;   	11;   	65;   	2.425
24;   	11;   	64;   	2.4
25;   	12;   	62;   	2.375
26;   	12;   	61;   	2.35
27;   	13;   	59;   	2.325
28;   	14;   	57;   	2.3
29;   	14;   	56;   	2.275
30;   	15;   	54;   	2.25
31;   	15;   	53;   	2.225
32;   	15;   	52;   	2.2
33;   	16;   	50;   	2.175
34;   	16;   	49;   	2.15
35;   	17;   	47;   	2.125
36;   	17;   	46;   	2.1
37;   	18;   	44;   	2.075
38;   	18;   	43;   	2.05
39;   	19;   	41;   	2.025
40;   	19;   	40;   	2
41;   	20;   	38;   	1.975
42;   	20;   	37;   	1.95
43;   	21;   	35;   	1.925
44;   	21;   	34;   	1.9
45;   	22;   	32;   	1.875
46;   	22;   	31;   	1.85
47;   	23;   	29;   	1.825
46;   	23;   	30;   	1.845
47;   	24;   	28;   	1.82
46;   	23;   	30;   	1.84999
45;   	23;   	31;   	1.86999
46;   	23;   	30;   	1.84499
45;   	23;   	31;   	1.86499
46;   	24;   	29;   	1.83999
47;   	24;   	28;   	101.815
48;   	25;   	26;   	101.79
49;   	25;   	25;   	101.765
50;   	26;   	23;   	101.74
51;   	26;   	22;   	101.715
52;   	27;   	20;   	101.69
53;   	27;   	19;   	101.665
54;   	28;   	17;   	101.64
55;   	28;   	16;   	101.615
56;   	29;   	14;   	101.59
57;   	29;   	13;   	101.565
58;   	30;   	11;   	101.54
59;   	30;   	10;   	101.515
60;   	31;   	8;   	101.49
61;   	31;   	7;   	101.465
62;   	32;   	5;   	101.44
